weight,Gender,vitamins,cook,cuisine,nutritional_check
187,2,1,2,Arabic cuisine,5
155,1,2,3,Italian,4
,1,1,1,italian,4
,1,1,2,Turkish ,2
190,1,2,1,Italian ,3
190,1,2,3,African,1
180,2,1,2,Thai,4
137,1,2,3,Anything american style.,4
180,1,2,3,Seafood,2
125,1,1,3,Italian ,5
116,1,2,1,Orange chicken and chow mani noodles ,2
110,1,1,3,Italian,5
264,2,2,5,Chinese ,2
123,1,2,2,italian,2
185,2,1,3,Chinese ,2
180,2,2,4,italian food,1
145,1,1,3,Jamaican ,4
170,2,2,3,American or Italian ,4
135,1,1,3,Chicken ,2
165,2,2,4,Italian,1
175,2,2,5,Mexican,2
195,2,2,3,Indian,4
185,2,1,5,italian ,3
185,2,1,4,Asian ,2
105,1,2,1,Chinese,2
125,1,2,3,don't have one,4
160,2,2,3,Italian food ,2
175,2,1,4,Mexican ,4
180,2,1,2,Italian/German,5
167,2,1,3,Indian food - samosas are amazing,2
115,1,1,3,mexican,4
205,2,1,2,italian,4
,2,1,5,Spanish,4
128,1,1,4,Italian ,4
150,1,1,4,French,4
150,1,2,1,American or Italian,2
150,1,2,3,Italian or Chinese ,3
170,1,2,2,Italian,4
150,1,2,3,italian,4
175,2,2,5,Mexican ,1
140,2,2,3,Italian ,3
120,1,1,2,Italian ,4
135,1,2,4,Italian,1
100,1,1,3,chinese,3
170,1,1,1,Thai food,4
113,1,2,3,Greek,2
168,2,2,3,Italian ,3
145,2,2,4,Italian ,2
155,2,1,4,Asian ,3
150,2,2,3,Italian ,2
169,2,2,5,American,5
185,2,1,3,All ,5
200,2,2,1,Mexican ,5
265,2,1,4,Sub sandwhiches,1
165,2,1,1,Italian,4
192,1,2,3,italian,3
175,2,1,3,Thai,4
140,1,1,2,Wraps ,5
155,1,1,1,Mexican,2
155,1,2,2,Italian ,2
135,1,1,2,Mexican ,4
118,1,1,2,Mexican ,4
210,2,1,3,Italian,4
180,1,2,3,Italian ,4
140,1,1,1,Chinese cuisine (General Tso's),4
112,1,2,2,Italian,1
125,1,1,2,American ,4
144,1,2,4,Italian ,2
145,1,2,3,Italian ,3
130,1,1,2,Italian,4
140,1,1,3,Italian,2
140,1,1,2,Italian ,4
140,2,1,3,Lean,2
200,2,1,1,Mexican,5
,2,2,2,nan,2
120,1,1,3,italian ,4
150,1,2,2,american ,3
200,2,2,2,American ,1
135,1,1,2,Japanese,4
145,2,2,5,Chinese,4
130,1,1,3,Italian,2
190,1,2,3,Italian,2
170,1,2,null,Italian,3
127,1,2,2,Any type of Colombian cuisine,3
167,1,1,1,Mexican cuisine,5
140,1,1,3,Asian,3
190,1,1,2,Chinese food,5
155,2,1,4,mac and cheese,2
175,2,1,null,Mexican,5
129,1,1,3,Authentic Chinese and Vietnamese food ,5
260,2,1,4,italian and chinese,2
135,1,2,2,American,3
190,2,2,2,Barbecue ,2
165,2,2,4,Italian,1
175,2,1,2,lebanese or greek,4
184,2,2,3,American,3
210,2,1,2,Italian,2
155,1,2,3,Italian,4
185,2,1,4,Italian,3
165,1,1,4,italian,2
125,1,2,3,Italian ,2
160,1,2,3,sushi,4
135,1,1,2,Italian,5
130,1,1,2,Indian food,4
230,1,1,4,Italian ,4
125,1,2,3,Italian,2
130,1,2,2,Nepali,4
165,1,2,2,I really love italian food and thai food,2
128,1,2,5,Italian,4
200,1,1,2,Italian ,4
160,1,2,3,Italian,3
170,2,2,2,nan,4
129,1,2,1,Italian ,4
170,1,2,2,Italian ,4
138,2,2,3,Korean,3
150,2,2,4,I do not like cuisine,1
170,1,1,3,Chinese ,2
113,1,1,3,Vietnamese cuisine,2
140,1,2,3,American ,2
185,2,2,2,Indian,2
156,1,1,3,Italian ,5
180,1,2,3,Mexican Food,3
120,1,2,3,Korean,3
135,2,1,3,Italian,4
135,1,2,null,HISPANIC CUISINE.,5
