weight,Gender,vitamins,cook,cuisine,nutritional_check,cuisine_encoded,normalized_nutritional_check,discretized_normalized_nutritional_check
130.0,1,1,3.0,Italian,2,1,0.25,Good
160.0,2,2,3.0,Italian food ,2,21,0.25,Good
140.0,1,1,3.0,Italian,2,1,0.25,Good
167.0,2,1,3.0,Indian food - samosas are amazing,2,24,0.25,Good
155.0,1,2,2.0,Italian ,2,4,0.25,Good
200.0,2,2,2.0,American ,1,38,0.0,Good
155.0,1,1,1.0,Mexican,2,15,0.25,Good
165.0,1,2,2.0,I really love italian food and thai food,2,54,0.25,Good
144.0,1,2,4.0,Italian ,2,4,0.25,Good
150.0,1,2,1.0,American or Italian,2,28,0.25,Good
150.0,2,2,3.0,Italian ,2,4,0.25,Good
210.0,2,1,2.0,Italian,2,1,0.25,Good
158.3801653,2,2,2.0,,2,-1,0.25,Good
175.0,2,2,5.0,Mexican ,1,22,0.0,Good
135.0,1,2,4.0,Italian,1,1,0.0,Good
265.0,2,1,4.0,Sub sandwhiches,1,35,0.0,Good
155.0,2,1,4.0,mac and cheese,2,46,0.25,Good
113.0,1,2,3.0,Greek,2,32,0.25,Good
165.0,1,1,4.0,italian,2,2,0.25,Good
145.0,2,2,4.0,Italian ,2,4,0.25,Good
125.0,1,2,3.0,Italian ,2,4,0.25,Good
125.0,1,2,3.0,Italian,2,1,0.25,Good
105.0,1,2,1.0,Chinese,2,19,0.25,Good
140.0,2,1,3.0,Lean,2,39,0.25,Good
165.0,2,2,4.0,Italian,1,1,0.0,Good
260.0,2,1,4.0,italian and chinese,2,48,0.25,Good
112.0,1,2,2.0,Italian,1,1,0.0,Good
158.3801653,1,1,2.0,Turkish ,2,3,0.25,Good
190.0,1,2,3.0,African,1,5,0.0,Good
190.0,1,2,3.0,Italian,2,1,0.25,Good
185.0,2,2,2.0,Indian,2,16,0.25,Good
180.0,1,2,3.0,Seafood,2,8,0.25,Good
140.0,1,2,3.0,American ,2,38,0.25,Good
185.0,2,1,4.0,Asian ,2,18,0.25,Good
113.0,1,1,3.0,Vietnamese cuisine,2,57,0.25,Good
116.0,1,2,1.0,Orange chicken and chow mani noodles ,2,9,0.25,Good
123.0,1,2,2.0,italian,2,2,0.25,Good
185.0,2,1,3.0,Chinese ,2,10,0.25,Good
180.0,2,2,4.0,italian food,1,11,0.0,Good
170.0,1,1,3.0,Chinese ,2,10,0.25,Good
150.0,2,2,4.0,I do not like cuisine,1,56,0.0,Good
135.0,1,1,3.0,Chicken ,2,14,0.25,Good
165.0,2,2,4.0,Italian,1,1,0.0,Good
175.0,2,2,5.0,Mexican,2,15,0.25,Good
190.0,2,2,2.0,Barbecue ,2,49,0.25,Good
264.0,2,2,5.0,Chinese ,2,10,0.25,Good
192.0,1,2,3.0,italian,3,2,0.5,Moderate
185.0,2,1,4.0,Italian,3,1,0.5,Moderate
184.0,2,2,3.0,American,3,33,0.5,Moderate
135.0,1,2,2.0,American,3,33,0.5,Moderate
127.0,1,2,2.0,Any type of Colombian cuisine,3,42,0.5,Moderate
145.0,1,2,3.0,Italian ,3,4,0.5,Moderate
168.0,2,2,3.0,Italian ,3,4,0.5,Moderate
120.0,1,2,3.0,Korean,3,55,0.5,Moderate
180.0,1,2,3.0,Mexican Food,3,58,0.5,Moderate
190.0,1,2,1.0,Italian ,3,4,0.5,Moderate
138.0,2,2,3.0,Korean,3,55,0.5,Moderate
